Name,Handle,Party,Bio
Øjvind Vilsholm,@LBregnbak,Ø,
Thue lundgaard,@ThueLundgaard,Ø,udvalgsformand for udvalget for ældre sundhed og forebyggelse i halsnæs kommune. medlem af KLs sundheds og ældreudvalg. byrådsmedlem i Halsnæs for Enhedslisten
Anne Hagel,@annehagel,Ø,"Brand Marketing Manager, muy digital. Todos los días un comienzo, una nueva idea, un aprendizaje."
Emil Ulrik Andersen,@annehagel,Ø,"Brand Marketing Manager, muy digital. Todos los días un comienzo, una nueva idea, un aprendizaje."
Christoffer Emil Jexen,@annehagel,Ø,"Brand Marketing Manager, muy digital. Todos los días un comienzo, una nueva idea, un aprendizaje."
Helene Liliendahl Brydensholt,@annehagel,Å,"Brand Marketing Manager, muy digital. Todos los días un comienzo, una nueva idea, un aprendizaje."
Sidsel Dyekjær,@r_sidsel,Å,
Morten,@mortenroyale,Å,Professional @ClashRoyale Player & Content Creator for @SKGaming!  Business: mortenroyale.business@gmail.com
Nicklas Hakmann (han/ham),@NHakmann,Å,"Tweeter på din regning og lomme filosof med hul i lommen.
P.s. er ordblind"
Nanna Høyrup,@NHakmann,Å,"Tweeter på din regning og lomme filosof med hul i lommen.
P.s. er ordblind"
Mette Møller Jeppesen,@mm_jeppesen,Å,Strategisk Rådgiver på uddannelse på AAU og Forsker i STEM.
Mariane Lunden Jacob,@mamaluja,Å,
Maud Margrethe Pedersen,@mamaluja,Å,
Mette Skamris,@mamaluja,Å,
Allon Hein Sørensen,@mamaluja,Å,
Katjalivah Elleyhansen,@mamaluja,UDEN,
Jayseth Lotus Arrose Simonysano,@simonysano,UDEN,Åbenhed Ærlighed Kærlighed
Kaare Dybvad Bek,@simonysano,A,Åbenhed Ærlighed Kærlighed
Brian Bressendorff,@bressendorff,A,Folketingsmedlem for Socialdemokratiet i Vordingborgkredsen.
Frederik Enevoldsen,@bressendorff,A,Folketingsmedlem for Socialdemokratiet i Vordingborgkredsen.
Mette Gjerskov,@bressendorff,A,Folketingsmedlem for Socialdemokratiet i Vordingborgkredsen.
Magnus Heunicke,@bressendorff,A,Folketingsmedlem for Socialdemokratiet i Vordingborgkredsen.
Thorkild Holmboe-Hay,@HolmboeHay,A,"Socialdemokratisk Folketingskandidat på Lolland-Falster opstillet i Sjællands Storkreds af Socialdemokratiet, Guldborgsundkredsen"
Jeppe Kofod,@HolmboeHay,A,"Socialdemokratisk Folketingskandidat på Lolland-Falster opstillet i Sjællands Storkreds af Socialdemokratiet, Guldborgsundkredsen"
Astrid Krag,@HolmboeHay,A,"Socialdemokratisk Folketingskandidat på Lolland-Falster opstillet i Sjællands Storkreds af Socialdemokratiet, Guldborgsundkredsen"
Rasmus Horn Langhoff,@rasmushorn,A,"Historiker, folketingsmedlem, sundhedsordfører for S"
Tanja Larsson,@LarssonTanja,A,"Medlem af Folketinget, Socialdemokratiet, boligordfører + ordfører for Færøerne samt fri- og efterskoler"
Kasper Roug,@KasperRoug,A,"Medlem af Folketinget for socialdemokratiet Valgt på Lolland Ordfører for Uddannelse, Grønland, Fiskeri, tele/ it. og er Veteran"
Frederik Vad,@Frede_Vad,A,Folketingsmedlem for S | Udviklingsansvarlig hos TAMU | Forbundsformand for DSU 2017-2022. Tlf.: 22418734 fvn@tamu.dk
Hikmet Altun,@hikmetaltun2133,B,
Troels Brandt,@troelsbrandt1,B,Radikal folketingskandidat i Sjællands Storkreds og byrådsmedlem i Slagelse Kommune. Forstander v. Karise Efterskole PD i ledelse og Master fra RUC.
Anne Sophie Callesen,@FrkCallesen,B,"Forhenværende for @radikale. Stadig vild med EU, international solidaritet og grænseløs tilhænger af frihed og menneskerettigheder."
Line Krogh Lay,@LineKLay,B,"Byrådsmedlem og folketingskandidat. Fuldt leveringsdygtig i skarpe holdninger, og tweeter mest om radikal politik."
Lukas Lunøe,@LukasLunoe,B,@radikale’s unge FT-kandidat på Sjælland. Fhv. landsformand @radikalungdom Mail: lukaslunoe@gmail.com Telefon: 53586867
Zenia Stampe,@zeniastampe,B,"Medlem af Folketinget for Radikale Venstre. Ordfører for kultur, medier, miljø og landbrug."
Kristian Stokholm,@kstokholm,B,Presserådgiver hos de radikale. Kan fanges på 61 62 53 63 / kristian.stokholm@ft.dk
Jeppe Trolle,@JeppeT,B,"39years old, 3 kids, academic officer in the Danish Ministry of Finance (økonomistyrelsen) scuba diving instructor, interested in politics and philosophy"
Edris Qasimi,@EdrisQasimi,B,Praktikant hos Radikale Venstre
Mads C. Andersen,@EdrisQasimi,C,Praktikant hos Radikale Venstre
Claus Dyremose,@ClausDyremose,C,
Brigitte K. Jerkel,@JerkelK,C,Medlem af Folketinget for Konservative. Medlem af Greve Byråd. Bestyrelsesmedlem i Dansk Automobil Sports Union. Medlem af FIA-Women in motorsport Commission.
Andreas F Karlsen,@Badbompy,C,"poker player, event prosjektet manager. security manager"
Annette Juhler Kjær,@annettejuhlers,C,
Rune Kristensen,@annettejuhlers,C,
Camillo Krog,@camillo_krog,C,
Stine Pilt Olsen,@camillo_krog,C,
Helle Laursen Petersen,@frupetersen,C,Konservativ regionspolitiker i Region Sjælland og Folketingskandidat Sjællands Storkreds
Regitze Harslund Sancoeur,@sancoeur,C,"Folketingskandidat for Det Konservative Folkeparti i Faxe-Stevns kredsen.
Byrådsmedlem for Det Konservative Folkeparti i Næstved Kommune 2022-2025."
Mads Silberg,@silberg_mads,C,"Forhenværende professionel soldat og officer, folketingskandidat, byrådsmedlem, konservativ politiker, debattør, rådgiver og die-hard fan af Gudeholdet (C)."
Jacob A.G. Stryhn,@a_stryhn,C,
Claus Bedemann,@a_stryhn,D,
Peter Seier Christensen,@peter_seier,D,"Medstifter af og politisk næstformand for Nye Borgerlige.
Folketingsmedlem valgt i Sjællands Storkreds.
Civilingeniør (kemi), ph.d."
Henriette Ergemann,@HErgemann,D,
Ulrik Nick Lassen,@HErgemann,D,
Githa Nelander,@GithaNelander,D,"Folketingskandidat for DF i København, Byrådsmedlem i Næstved, Medlem af KKR og Vækstforum Sjælland. Sales Manager, Ledelses- og organisationsudvikling i Falck"
Tonny Voldby Pedersen,@GithaNelander,D,"Folketingskandidat for DF i København, Byrådsmedlem i Næstved, Medlem af KKR og Vækstforum Sjælland. Sales Manager, Ledelses- og organisationsudvikling i Falck"
Jan Bigum Warming,@janbigumwarming,D,
Jeanne Rygas Bergmansen,@janbigumwarming,F,
Anne Valentina Berthelsen,@janbigumwarming,F,
Astrid Carøe,@AstridCaroee,F,"Folketingsmedlem for Socialistisk Folkeparti. Ordfører for uddannelse og forskning, samt ligestilling og LGBT+. Kontakt: 61 62 30 61 og astrid.caroe@ft.dk."
Mike Graakjær Jensen,@Das_Gekko,F,
Gitte K. Henriksen,@JaneeHurst2,F,Argentina Biomedicin Børn Citatr Español Familie Friluftsliv Journalistik Kultur Mad Mennesker Musik Rejser SDUTeater TV Undervisning Viden
Claus Joergensen,@ClausJor,F,"Principal Program Manager at Microsoft Corporation, working on High-Performance Cloud and HPC storage."
Jacob Mark,@ClausJor,F,"Principal Program Manager at Microsoft Corporation, working on High-Performance Cloud and HPC storage."
Mads Olsen,@ClausJor,F,"Principal Program Manager at Microsoft Corporation, working on High-Performance Cloud and HPC storage."
kenneth werby jensen,@werby91,F,
Louie Andersen,@werby91,I,
Lars-Christian Brask,@werby91,I,
Frederik Grünfeld,@FHG1996,I,"Folketingskandidat for Liberal Alliance på Sjælland. I øvrigt vild med biler, mad og vin."
Sander P. Larsen,@FHG1996,I,"Folketingskandidat for Liberal Alliance på Sjælland. I øvrigt vild med biler, mad og vin."
Joachim Riis-Bernickow,@riisbernickow,I,"Folketingskandidat for Liberal Alliance, Master Certified Motivator, Country Sales Manager, Kommunikator, Ægtemand, Far, Moderne Frihedskæmper og livsnyder."
Nicolai Sandager,@NSA42,I,Candidate to the Danish Parliament for Liberal Alliance. Besides that some people actually enjoys listning to me sing!
Sandra Elisabeth Skalvig,@xSkalvig,I,"Folketingsmedlem for Liberal Alliance, Sjællands Storkreds"
Flemming V. Sørensen,@loeweman12,I,"IT Architect interested in Danish politics and green transport, especially EVs. My only car is a Tesla Model 3."
Henrik Thomsen,@HenrikThomsen18,I,Åbenhed - Ærlighed - Integritet
Nikolai vester,@Nikolaivester1,I,
Thomas Vesth,@ThomasVesth,I,Folketingskandidat for Liberal Alliance i Sjællands storkreds.
karrigan,@karriganCSGO,K,Professional CS:GO player for @FaZeClan - MSc in BA and Auditing. Business enquiries: karrigan@forevr.gg
eva guldfred,@guldfred,K,Formand for KD Køge Bugt. Kæmper for de svage i samfundet .
John Haugegaard,@john_haugegaard,K,"Specialized swine vet. Chair at swine section, Danish Veterinary Association. Views are private. Employed at MSD Animal Health. KD’er."
Per Kristensen,@john_haugegaard,K,"Specialized swine vet. Chair at swine section, Danish Veterinary Association. Views are private. Employed at MSD Animal Health. KD’er."
Tage Sørensen,@tasren1,K,
Mads Lund Beier,@Mads_Lund_Beier,M,
Jan Carlsen,@JanCarlsen,M,
Mike Villa Fonseca,@VillaFonseca,M,Jeg bruger ikke twitter på nuværende tidspunkt
Charlotte Bagge Hansen,@charlotte_bagge,M,Folketingskandidat for Moderaterne
Michael Hertz,@charlotte_bagge,M,Folketingskandidat for Moderaterne
Benjamin Lindberg,@BenjaminLindbe1,M,Gamer Swedish and still in School
Lucas Olsgaard,@LucasOlsgaard,M,"Jeg har engang spist en hel citronmåne fra dancake på ingen tid, og så er jeg en 20 årige folketingskandidat for Moderaterne - jeg er mest stolt af det sidste."
Ewan O'Nell,@LucasOlsgaard,M,"Jeg har engang spist en hel citronmåne fra dancake på ingen tid, og så er jeg en 20 årige folketingskandidat for Moderaterne - jeg er mest stolt af det sidste."
Lars Løkke Rasmussen,@larsloekke,M,"MF, tidligere statsminister, leder af Moderaterne, stifter af LøkkeFonden, initiativtager til Det Politiske Mødested"
Anders Ladegaard Bork,@AndersLadegaar1,O,
René Christensen,@RenChristensen5,O,"Portugal traveller.
Nature. 
Be good/nice

All pictures are photographed with my cellphone.

Do things that makes You happy.
No DM. I block You. 
Working nights"
Lars Damgaard,@RenChristensen5,O,"Portugal traveller.
Nature. 
Be good/nice

All pictures are photographed with my cellphone.

Do things that makes You happy.
No DM. I block You. 
Working nights"
Claus Engskov,@662e5f318af2467,O,
Kim Errebo,@KerreboKim,O,
Simon Hampe,@SimonHampe,O,"Byrådsgemal, marketingmand og folketingskandidat for Dansk Folkeparti"
Kim Malmberg Hansen,@SimonHampe,O,"Byrådsgemal, marketingmand og folketingskandidat for Dansk Folkeparti"
Thomas Lund Hansen,@ThomasLund71,O,Journalist. Søren Brostrøm lookalike. Klapper på 1 og 3. Holder stædigt fast i NemID. Alle synspunkter er @JyllandsPosten's - ikke mine.
Jan Hemberg Herskov,@HerskovJan,O,
Pia Kjærsgaard,@HerskovJan,O,
Merete Dea Larsen,@dea_merete,O,
df john Vind,@VindJohn,O,
Yadvinder Singh,@VindJohn,Q,
jasmin kaur ,@jusmunkaur,Q,Author of When You Ask Me Where I'm Going             + If I Tell You The Truth (out now!) / IG: @jusmun     (she/her)
Ahmet Üzümcü,@casanowaa,Q,I will come back for you !
Xenia Anderson,@xeniaanderson01,Q,"Kunstner, Aktivist, RUC’er Mail: xeniaanderson01@gmail.com"
Charlotte Bisserup Bechfeldt,@xeniaanderson01,V,"Kunstner, Aktivist, RUC’er Mail: xeniaanderson01@gmail.com"
Morten Dahlin,@xeniaanderson01,V,"Kunstner, Aktivist, RUC’er Mail: xeniaanderson01@gmail.com"
Marcus Danielsson,@xeniaanderson01,V,"Kunstner, Aktivist, RUC’er Mail: xeniaanderson01@gmail.com"
Louise Schack Elholm,@LouiseElholm,V,Medlem af Folketinget for Venstre. Er Venstres skatteordfører. Bor til dagligt i Sorø sammen med @Torstenschack og vores to børn. Tlf 6162 4180
Malene Grandjean,@GrandjeaMalene,V,"Vicedirektør Nordvestsjællands Erhvervs- og Gymnasieuddannelser, Folketingskandidat (V) Sjællands Storkreds og bestyrelsesmedlem i en række bestyrelser"
Rasmus Hylleberg,@hylle87,V,"Chefredaktør hos K-News, Karnovs online nyhedsmagasin - tweeter på egne vegne. Mest om jura, men også lidt om klima og fodbold."
Jakob Ellemann-Jensen,@JakobEllemann,V,"Formand for @venstredk. Far, ægtemand, liberal."
"Stén Knuth, Idrætsordfører Venstre",@Sten_Knuth,V,"Tidligere Folketingsmedlem for Venstre, Danmarks Liberale parti. Folketingskandidat i Slagelse kredsen, Sjællands Storkreds."
Kenneth K. Berth,@Kristensenberth,V,"fhv. medlem af Folketinget, kommunalbestyrelsesmedlem, folketingskandidat"
Iben Krog,@ibenkr2,V,"Folketingskandidat for Venstre, Sjællands Storkreds. 
Emner: Fødevarer, land og by, bæredygtighed, kultur 
Kontakt: iben@folketinget.nu / +45 22 48 35 11"
Jacob Panton,@Jacob_Panton,V,
Ditte Rust,@Jacob_Panton,V,
Susie Jessen,@SusieJessen,Æ,Folketingsmedlem for Danmarksdemokraterne.
Sebastian Mylsted-Schenstrøm,@SusieJessen,Æ,Folketingsmedlem for Danmarksdemokraterne.
Peter Skaarup,@skaarup_peter,Æ,"Medlem af Folketinget og Gruppeformand for Danmarksdemokraterne. Jeg tweeter mest om politik, men der kan måske også komme lidt om fodbold. peter.skaarup@ft.dk"
Christian Wibholm,@Chr_Wibholm,Æ,
Trine Pertou Mach,@Chr_Wibholm,Ø,
Christine Lundgaard,@Chris_Lundgaard,Ø,
Ludmila Plenge Schütt,@Chris_Lundgaard,Ø,
Bruno Jerup,@BrunoJerup,Ø,
Jonas Paludan,@jonas_paludan,Ø,
Anders Ladegaard Marchsteiner,@jonas_paludan,Ø,
Christian Tastrup,@ctastrup1,Ø,
Birgit Gedionsen,@BGedionsen,Ø,
Otto Mortensen,@OttoMortensen,Ø,.
Miralem Garagic,@OttoMortensen,Ø,.
Jan Allan Andersen,@JanAllanAnders2,Å,
Sascha Faxe,@saschafaxe,Å,"Folketingsmedlem for Alternativet, kontakt: sascha.faxe@ft.dk"
Line Gessø,@saschafaxe,Å,"Folketingsmedlem for Alternativet, kontakt: sascha.faxe@ft.dk"
Kirsten Kock,@saschafaxe,Å,"Folketingsmedlem for Alternativet, kontakt: sascha.faxe@ft.dk"
Michael Monberg - Alternativet,@mmonberg,Å,"Håbefuld idealist. Kandidat og dyrerettighedsordfører for Alternativet. Jeg ved at vi kan skabe en bedre fremtid for alle på denne planet.
Mob. 36 99 24 00"
Ulla Munksgaard,@UMunksgaard,Å,Alternativets folketingskandidat
Katrine Ida Olsson,@KatrineIdaOlss1,Å,Jeg blev veganer af mange omveje og uddanner mig nu til jordbrugsteknolog. Jeg stiller op til byrådet i Slagelse for at skabe en bæredygtig by med mere natur
Liselotte Katarina Rotfeld,@KatrineIdaOlss1,Å,Jeg blev veganer af mange omveje og uddanner mig nu til jordbrugsteknolog. Jeg stiller op til byrådet i Slagelse for at skabe en bæredygtig by med mere natur
Jakob Schmidt,@KatrineIdaOlss1,Å,Jeg blev veganer af mange omveje og uddanner mig nu til jordbrugsteknolog. Jeg stiller op til byrådet i Slagelse for at skabe en bæredygtig by med mere natur
Lisa Sofia Larsson,@Sofialisa,UDEN,
Rasmus Paludan,@Sofialisa,UDEN,
Niels Ole Beck,@ole_beck,A,
Tommi Christensen,@ole_beck,A,
Benny Engelbrecht,@ole_beck,A,
Kim Eskesen,@kimeskesen1,A,
Barbara Krarup Hansen,@kimeskesen1,A,
Theis Kylling Hommeltoft,@hommeltoft,A,"Far til fire skønne vilde drenge, gift og sønderjyde... Folketingskandidat i Aabenraa og kandidat til KV21 for Socialdemokratiet."
Anders Kronborg,@AndersKronborg,A,"MF, Socialdemokratiet. Formand for Folketingets Børne & Undervisningsudvalg. Bor, lever og valgt i Esbjerg Bykreds. fødevare-, dyrevelfærd- og turismeordfører."
Sussi Bjørn Laursen,@SussiBL,A,
Chr Rabjerg Madsen,@RabjergMadsen,A,Indenrigs- og boligminister
Jesper Petersen,@Jesper_Pet,A,MF (S). Minister for uddannelse og forskning. Profilen føres ikke som minister. Mail: min@ufm.dk
Kris Jensen Skriver,@Jesper_Pet,A,MF (S). Minister for uddannelse og forskning. Profilen føres ikke som minister. Mail: min@ufm.dk
Jens Jonatan Steen,@jensjsteen,A,Politik og Udviklingschef for Socialdemokratiet | jens.steen@ft.dk | 61623281
Birgitte Vind,@birgitte_vind,A,"Ivrig socialdemokrat, MF valgt i Sydjylland. Indenrigs-, Kommunal og Ældreordfører. Super fighter for børn og unges trivsel. Bekæmper ensomhed for alle aldre."
,@AnneMarie,B,Give me cake and crisps and Malibu and crumpets.
Ole Lynggaard Jørgensen,@lynggaard_j,B,"Grønt, vådt og blåt."
Bjarne Lastein,@aviatorlastein,B,Aviator & politiker
Finn Hartvig Nielsen,@FinnNielsen,B,"Saving the world a tweet at a time your everyday kværulant, sydjysk FT-kandidat, fynsk EP-kandidat for @Radikale og gymnasielærer. Formand for @eubevfyn"
Lasse Skov Ovesen,@FinnNielsen,B,"Saving the world a tweet at a time your everyday kværulant, sydjysk FT-kandidat, fynsk EP-kandidat for @Radikale og gymnasielærer. Formand for @eubevfyn"
Lotte Rod,@FinnNielsen,B,"Saving the world a tweet at a time your everyday kværulant, sydjysk FT-kandidat, fynsk EP-kandidat for @Radikale og gymnasielærer. Formand for @eubevfyn"
Dr. Nils Sjöberg (Taylor’s Version),@sergiobyrd13,B,"it’s me, hi. i am the problem it’s me"
@rgdd@mastodon.social (Rasmus Dahlberg),@__rgdd,C,"He/him. PhD student @kaucs. Software engineer @mullvadnet. Core member @torproject. Passionate about transparency logs, anonymity networks, and Linux."
Jesper Højmark Esbensen,@__rgdd,C,"He/him. PhD student @kaucs. Software engineer @mullvadnet. Core member @torproject. Passionate about transparency logs, anonymity networks, and Linux."
Niels Flemming Hansen,@NielsFlemming01,C,MF beskæftigelses- og transportordfører for @KonservativeDK
Sune Steffen Hansen,@sune_steffen,C,"Politisk data dude, Partner i Rud P, podcastvært på Pollster - en faktabaseret podcast om politik. Far til to, mand til en. Glad for byens hold."
Steen Holm Iversen,@steenHiversen,C,"Officer, Veteran, Debattør, Politiker, Medlem af Varde byråd for Det Konservative Folkeparti - Blokere anonyme profiler."
Birgitte Klippert,@Klippertconsult,C,
Dan Foss Kragh,@kongendk1,C,
Rasmus Elkjær Larsen,@kongendk1,C,
Christian Lorenzen,@athleticexcel,C,
Casper Nørgaard Maglekær,@athleticexcel,C,
Frederik Bloch Münster,@FrederikMnster,C,Tlf: 26 25 65 95 E-mail: Frederik@muenster.dk
Kirsten Hassing Nielsen,@KirstenHassing,C,
Rikke Norlyk,@RikkeNorlyk,C,Folketingskandidat for Det Konservative Folkeparti
Rasmus Sandvej,@RikkeNorlyk,C,Folketingskandidat for Det Konservative Folkeparti
Dorthe Schmittroth Madsen,@Dotschmittroth,C,
Tom Andkjær,@TomAndkjaer,D,Folketingskandidat - Nye Borgerlige
Karsten Byrgesen,@kb54071934,D,Sidder i Fredericia byråd for Nye Borgerlige
Rune Bønnelykke,@bonnelykke,D,
Bo Kleis Christensen,@BoKleis,D,Nye Borgerlige Sønderborg
Jan Køpke Christensen (NyeBorgerlige),@jankopke,D,"1. suppleant til Folketinget for Pernille Vermund/Nye Borgerliges folketingskandidat i hele Syd- og Sønderjylland, Liste D."
Kim Kardashian,@KimKardashian,D,@SKIMS @SKKN @SKKYPartners
hans-Christian Gjerlevsen,@Gjerlevsennb,D,
Hans Henrik Husted,@henrikhusted,D,
Marianne Mathiesen,@MarianneM_LA,D,Medlem af regionsrådet Syddanmark  og læge.
Thomas Vedsted,@TVedsted,D,
Pernille Vermund,@PernilleVermund,D,Formand for Nye Borgerlige. Medlem af Folketinget.
Nanna Bonde,@Nanna_Bonde,F,"Folketingskandidat for SF i Sydjylland. Tidl. landsformand for @SF_Ungdom.
Arbejder med borgerinddragelse i solcelle- og vindmølleprojekter i European Energy."
Christian Mutwa Christensen,@CPMC_SF,F,"Folketingskandidat for SF i Syd- og Sønderjylland.

Kandidatgrad i Historie samt Film og TV."
Karina Lorentzen D.,@MF_K_Lorentzen,F,Socialist med hjerte. Sydjyde. MF for SF. Gruppeformand. Retsordfører og formand for udvalget for udvalget for øer og landdistrikter. Tlf. 61 62 30 45
Milo Jacobsen Gaarde,@GaardeMilo,F,"Byrådskandidat for Socialistisk Folkeparti i 
Tønder Kommune"
David Dam Jensen,@DavidDamJensen,F,"Stiller op som Danmarks yngste spidskandidat i Sydvestjylland for SF, folketingskandidat i hele Sydjylland og medlem af SF Ungdoms forretningsudvalg."
John Hyrup jensen,@JohnHyrup,F,
Laurits Kaae,@JohnHyrup,F,
Wanda Madsen,@wandamadsen,F,
Privat Socialrådgiver Karin B Nissen,@PrivatNissen,F,Bekæmper sagsbehandlingsfejl og systemstress
Lars Olesen,@PrivatNissen,F,Bekæmper sagsbehandlingsfejl og systemstress
Gunner Poulsen,@GunnerPoulsen,F,
Susanne Stenstrop Thorsen,@SusanneThorsen,F,"Journalist og kommunikationskonsulent, HK Sydjylland. Formand og folketingskandidat, SF Kolding."
Simon Dahl Verner,@simonverner,F,
Karl Erik Andersen,@karlerik,I,Bob Dylan - Expecting Rain webmaster
Carsten L. Andersen,@claDWPA,I,"My proffesional interests are wind turbines and technology, efficient operation of wind turbines, and training the future wind turbine techs of the industry."
Helena Artmann Andresen,@claDWPA,I,"My proffesional interests are wind turbines and technology, efficient operation of wind turbines, and training the future wind turbine techs of the industry."
Henrik Dahl,@SociologenHD,I,
Kim Alexander Jensen,@SociologenHD,I,
Ken Kirkeby,@kinny_k,I,
Dorthe Wildt Nielsen,@DortheWildt,I,
Tobias Pagh,@TobiasPagh,I,"HB 18/19
Campus Vejle 2019/22
LA"
Mikkel M. Pedersen,@Mikkelmartin,I,Love creating stuff. Big fan of weird cross genre fiction. Joe R. Lansdale and Garth Ennis are my heroes. Also Game Director and Co-founder of Ghost Ship Games.
Ester Esmarch,@ezmaralda3112,K,
Poul Harald Holm,@ezmaralda3112,K,
Frits Simmelsgaard Kristensen,@KristensenFrits,K,
Mirjam Fibiger Olesen,@KristensenFrits,K,
Søren Lydeking Pedersen,@KristensenFrits,K,
Henrik Engelbrekt Refshauge,@henref,K,Board | Chair | CEO | COO | HR | Change management | Advocate for learning | Agile organisation | Visionary Transformation | Brand | Foundraising | IBA | UC-Syd
Frida,@Frida_bruun03,M,
Henrik Frandsen,@HenrikFrandsen5,M,"Tidl. borgmester i Tønder, formand Tønder Listen - Største parti i Tønder og DK’s største lokalliste. Tidl.  landmand, landboforeningformand, viceformand L&F."
Mette Kierkgaard,@Mettekierkgaard,M,
Kasper Søstrøm Müller,@KasperSostrom,M,Folketingskandidat Moderaterne
josephine alstrup,@josephinealstr1,O,
Lene Baggesø,@LBFruerboel,O,"Mor til fire, gift med den skønneste mand og medlem af verdens bedste parti. Dansk Folkeparti. Formand for Dansk Folkeparti Tønder.
Folketingskandidat for Dansk"
Susanne Eilersen,@Eilersen_DF,O,fhv. Folketingsmedlem for Dansk Folkeparti og 1. Viceborgmester i Fredericia.
Lasse Holmqvist,@LasseHolmqvist,O,
Peter Kofod(DF),@KofodPeter,O,MEP og tidl. MF for Dansk Folkeparti. Sidder i ID-gruppen.
Jon Krongaard,@JonKrongaard,O,"Viceborgmester (DF) Haderslev 
Formand for Beskæftigelses- og Integrationsudvalget
Medlem af Økonomiudvalget"
Søren Egge Rasmussen,@SorenEggeRasmus,O,Folketingsmedlem for Enhedslisten. Energi og Forsyningsordfører. Landbrugs- og fødevareordfører. Dyrevelfærdsordfører. Fiskeriordfører. Boligordfører.
Marianne Karlberg,@MarianneKarlbe2,Q,"Spidskandidat i Syd og Sønderjylland for Frie Grønne. Tweeter om politik, uddannelse, kunst og kultur."
Viola Kirkegaard Kräge,@violakirkegaard,Q,"tysk-dansk, feminist, klimatosse, antiracist & spaghettielsker"
Niels Henning Bladt,@NielsBladt,V,Folketingskandidat for Venstre i Kolding.
Tilde Holch Duedahl,@HolchTilde,V,"Mor til 4, kontoruddannet, frivillig igennem flere årtier, aktiv i Venstre."
Preben Friis-Hauge,@FriisHauge,V,
Eva Kjer Hansen,@EvaKjerHansen,V,Medlem af Folketinget for @venstredk.
Tobias Jørgensen,@ByTjdk,V,"• Photographer @ FCK FanClub
• Photographer @ @GonzalesPhotoDK
• Business Contact: Hello@ByTJ.dk
• Instagram : ByTobiasJorgensen"
Anni Matthiesen,@AnniMatthiesen,V,Folketingsmedlem for Venstre siden 2011 valgt i Syd- og Sønderjylland. Formand for erhvervsudvalget Kommunalordfører. Turismeordfører
Christoffer Aagaard Melson,@AnniMatthiesen,V,Folketingsmedlem for Venstre siden 2011 valgt i Syd- og Sønderjylland. Formand for erhvervsudvalget Kommunalordfører. Turismeordfører
Kasper B. Mundt,@AnniMatthiesen,V,Folketingsmedlem for Venstre siden 2011 valgt i Syd- og Sønderjylland. Formand for erhvervsudvalget Kommunalordfører. Turismeordfører
Jacob Chr. Nielsen,@jacobchrnielsen,V,Erfaren erhvervsleder med hjertet på rette sted!
Chris Preuss,@jacobchrnielsen,V,Erfaren erhvervsleder med hjertet på rette sted!
Klaus Sandfeld,@KlausSandfeld,V,Denne side skal understøtte mit politiske virke ifm FV og KV
Hans Christian Schmidt,@KlausSandfeld,V,Denne side skal understøtte mit politiske virke ifm FV og KV
Rikke Tangaa,@RikkeTangaa,V,
Karina Adsbøl,@Karinameldgaard,Æ,Folketingskandidat for Dansk folkeparti
Jennifer Andresen,@lilo1love,Æ,
Patrick Culmsee Bryhl,@lilo1love,Æ,
Søren Espersen,@EspersenSoren,Æ,Folketingsmand
Michael Mikkelsen,@MMikkelsen,Æ,"I advocate Nonviolence as a means to achieve Peace through Liberty.

Bitcoin Donations: 1JNHRUi7iMxKawsDGxP87vYp1BkW48L5Y7"
Kenneth Fredslund Petersen,@KennethFredslu1,Æ,
Søren Egge Rasmussen,@SorenEggeRasmus,Ø,Folketingsmedlem for Enhedslisten. Energi og Forsyningsordfører. Landbrugs- og fødevareordfører. Dyrevelfærdsordfører. Fiskeriordfører. Boligordfører.
Rasmus Vestergaard Madsen,@SorenEggeRasmus,Ø,Folketingsmedlem for Enhedslisten. Energi og Forsyningsordfører. Landbrugs- og fødevareordfører. Dyrevelfærdsordfører. Fiskeriordfører. Boligordfører.
sarah norris,@sarahn12,Ø,ΑΔΠ
Richard David Precht,@richprecht,Ø,
Selma Bolø,@richprecht,Ø,
Jan Filbært ,@filbaert,Ø,"Interesse for:,mennesker# politik# samfund# humor#"
Mathias Dahl Christiansen,@filbaert,Ø,"Interesse for:,mennesker# politik# samfund# humor#"
Marianne Ishøi Mose,@Ishoei,Ø,"Folketingskandidat, Enhedslisten. Folkeskolelærer. Mor. Sønderjylland."
Apple Support,@AppleSupport,Ø,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific."
Benny Dall,@AppleSupport,Ø,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific."
Sabrina Louise Christiansen,@AppleSupport,Ø,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific."
Benjamin Strand Andersen,@BenjaminStran,Å,"Jeg er 29 år og bosat på Fanø, Arbejder i Fanø Boldklub, kasserer i flere foreninger, og medlem i Alternativet, hvor jeg er ordfører for Handicap og Etik"
Nilas Bay-Foged (Å),@nilasnilas,Å,Folketingskandidat i Sydjylland og medstifter af Alternativet. Projektleder hos VedvarendeEnergi.
Jørn Bjorholm,@JrnBjorholm,Å,
Ditte Madvig Evald,@JrnBjorholm,Å,
ASTRID S,@astridsofficial,Å,COME FIRST SEP 23rd
